sensor_id, timestamp, count
1745,'2016-07-08 00',15
1745,'2016-07-08 01',10
1745,'2016-07-08 02',4
1745,'2016-07-08 03',2
1745,'2016-07-08 04',11
1745,'2016-07-08 05',43
1745,'2016-07-08 06',101
1745,'2016-07-08 07',103
1745,'2016-07-08 08',129
1745,'2016-07-08 09',405
1745,'2016-07-08 10',249
1745,'2016-07-08 11',130
1745,'2016-07-08 12',76
1745,'2016-07-08 13',58
1745,'2016-07-08 14',77
1745,'2016-07-08 15',71
1745,'2016-07-08 16',91
1745,'2016-07-08 17',79
1745,'2016-07-08 18',89
1745,'2016-07-08 19',108
1745,'2016-07-08 20',86
1745,'2016-07-08 21',66
1745,'2016-07-08 22',49
1745,'2016-07-08 23',34
1745,'2016-07-09 00',15
1745,'2016-07-09 01',4
1745,'2016-07-09 02',1
1745,'2016-07-09 03',3
1745,'2016-07-09 04',10
1745,'2016-07-09 05',52
1745,'2016-07-09 06',135
1745,'2016-07-09 07',92
1745,'2016-07-09 08',365
1745,'2016-07-09 09',453
1745,'2016-07-09 10',208
1745,'2016-07-09 11',140
1745,'2016-07-09 12',76
1745,'2016-07-09 13',44
1745,'2016-07-09 14',39
1745,'2016-07-09 15',51
1745,'2016-07-09 16',69
1745,'2016-07-09 17',64
1745,'2016-07-09 18',73
1745,'2016-07-09 19',81
1745,'2016-07-09 20',54
1745,'2016-07-09 21',39
1745,'2016-07-09 22',38
1745,'2016-07-09 23',12
1745,'2016-07-10 00',7
1745,'2016-07-10 01',5
1745,'2016-07-10 02',4
1745,'2016-07-10 03',8
1745,'2016-07-10 04',29
1745,'2016-07-10 05',191
1745,'2016-07-10 06',304
1745,'2016-07-10 07',488
1745,'2016-07-10 08',535
1745,'2016-07-10 09',474
1745,'2016-07-10 10',489
1745,'2016-07-10 11',309
1745,'2016-07-10 12',30
1745,'2016-07-10 13',30
1745,'2016-07-10 14',34
1745,'2016-07-10 15',2
1745,'2016-07-10 16',5
1745,'2016-07-10 17',11
1745,'2016-07-10 18',40
1745,'2016-07-10 19',54
1745,'2016-07-10 20',34
1745,'2016-07-10 21',19
1745,'2016-07-10 22',13
1745,'2016-07-10 23',12
1746,'2016-07-08 05',27
1746,'2016-07-08 06',62
1746,'2016-07-08 07',203
1746,'2016-07-08 08',412
1746,'2016-07-08 09',465
1746,'2016-07-08 10',154
1746,'2016-07-08 11',82
1746,'2016-07-08 12',57
1746,'2016-07-08 13',30
1746,'2016-07-08 14',7
1746,'2016-07-08 16',1
1746,'2016-07-08 17',2
1746,'2016-07-08 18',4
1746,'2016-07-08 19',7
1746,'2016-07-08 20',3
1746,'2016-07-08 21',1
1746,'2016-07-08 22',3
1746,'2016-07-09 00',1
1746,'2016-07-09 01',1
1746,'2016-07-09 02',1
1746,'2016-07-09 04',1
1746,'2016-07-09 05',36
1746,'2016-07-09 06',91
1746,'2016-07-09 07',269
1746,'2016-07-09 08',517
1746,'2016-07-09 09',375
