sensor_id, timestamp, count
1745,'2016-07-08 00',11
1745,'2016-07-08 01',4
1745,'2016-07-08 02',1
1745,'2016-07-08 03',1
1745,'2016-07-08 04',3
1745,'2016-07-08 05',15
1745,'2016-07-08 06',35
1745,'2016-07-08 07',32
1745,'2016-07-08 08',60
1745,'2016-07-08 09',63
1745,'2016-07-08 10',58
1745,'2016-07-08 11',45
1745,'2016-07-08 12',51
1745,'2016-07-08 13',52
1745,'2016-07-08 14',48
1745,'2016-07-08 15',199
1745,'2016-07-08 16',269
1745,'2016-07-08 17',206
1745,'2016-07-08 18',162
1745,'2016-07-08 19',233
1745,'2016-07-08 20',118
1745,'2016-07-08 21',110
1745,'2016-07-08 22',66
1745,'2016-07-08 23',25
1745,'2016-07-09 00',12
1745,'2016-07-09 01',8
1745,'2016-07-09 02',2
1745,'2016-07-09 03',3
1745,'2016-07-09 04',6
1745,'2016-07-09 05',8
1745,'2016-07-09 06',25
1745,'2016-07-09 07',30
1745,'2016-07-09 08',71
1745,'2016-07-09 09',60
1745,'2016-07-09 10',53
1745,'2016-07-09 11',35
1745,'2016-07-09 12',33
1745,'2016-07-09 13',31
1745,'2016-07-09 14',243
1745,'2016-07-09 15',304
1745,'2016-07-09 16',268
1745,'2016-07-09 17',331
1745,'2016-07-09 18',288
1745,'2016-07-09 19',137
1745,'2016-07-09 20',86
1745,'2016-07-09 21',62
1745,'2016-07-09 22',31
1745,'2016-07-09 23',13
1745,'2016-07-10 00',8
1745,'2016-07-10 01',9
1745,'2016-07-10 02',4
1745,'2016-07-10 03',5
1745,'2016-07-10 04',6
1745,'2016-07-10 05',17
1745,'2016-07-10 06',30
1745,'2016-07-10 07',49
1745,'2016-07-10 08',54
1745,'2016-07-10 09',54
1745,'2016-07-10 10',45
1745,'2016-07-10 11',49
1745,'2016-07-10 12',33
1745,'2016-07-10 13',61
1745,'2016-07-10 14',233
1745,'2016-07-10 15',717
1745,'2016-07-10 16',934
1745,'2016-07-10 17',551
1745,'2016-07-10 18',410
1745,'2016-07-10 19',234
1745,'2016-07-10 20',117
1745,'2016-07-10 21',27
1745,'2016-07-10 22',24
1745,'2016-07-10 23',12
1746,'2016-07-08 01',2
1746,'2016-07-08 03',1
1746,'2016-07-08 04',1
1746,'2016-07-08 05',2
1746,'2016-07-08 09',1
1746,'2016-07-08 10',1
1746,'2016-07-08 11',1
1746,'2016-07-08 12',1
1746,'2016-07-08 13',3
1746,'2016-07-08 14',32
1746,'2016-07-08 15',229
1746,'2016-07-08 16',339
1746,'2016-07-08 17',317
1746,'2016-07-08 18',235
1746,'2016-07-08 19',149
1746,'2016-07-08 20',61
1746,'2016-07-08 21',47
1746,'2016-07-08 22',34
1746,'2016-07-08 23',1
